date,nom station,TN,TX,RR24
28/04/2026,Genlis,9.2,,0.0
28/04/2026,Varanges,8.1,,0.0
27/04/2026,Genlis,20.4,22.6,0.0
27/04/2026,Varanges,6.3,25.9,0.0
26/04/2026,Varanges,4.5,25.1,0.0
25/04/2026,Varanges,8.3,25.1,0.0
24/04/2026,Varanges,4.6,25.0,0.0
23/04/2026,Varanges,3.5,23.8,0.0
22/04/2026,Genlis,5.7,16.5,0.0
22/04/2026,Varanges,5.4,20.1,0.0
21/04/2026,Genlis,4.1,17.4,0.0
21/04/2026,Varanges,4.0,19.3,0.0
20/04/2026,Genlis,4.6,21.1,0.0
20/04/2026,Varanges,4.3,19.7,0.0
19/04/2026,Genlis,11.9,20.4,0.0
19/04/2026,Varanges,10.7,20.7,0.0
18/04/2026,Genlis,7.4,26.9,0.0
18/04/2026,Varanges,6.4,25.7,0.0
17/04/2026,Genlis,7.7,26.9,0.0
17/04/2026,Varanges,6.9,24.7,0.0
16/04/2026,Genlis,7.6,20.3,0.0
16/04/2026,Varanges,6.8,23.8,0.0
15/04/2026,Genlis,3.0,20.0,0.0
15/04/2026,Varanges,2.2,21.0,0.0
14/04/2026,Genlis,3.8,17.3,0.1
14/04/2026,Varanges,3.5,17.2,0.1
13/04/2026,Genlis,5.4,10.2,4.7
13/04/2026,Varanges,5.5,9.5,5.0
12/04/2026,Genlis,7.1,10.1,10.5
12/04/2026,Varanges,7.1,9.5,9.1
11/04/2026,Genlis,14.4,21.6,8.5
11/04/2026,Varanges,5.5,20.7,7.8
10/04/2026,Genlis,9.8,13.3,0.0
10/04/2026,Varanges,9.5,20.1,0.0
09/04/2026,Genlis,6.8,28.5,0.0
09/04/2026,Varanges,7.1,27.8,0.0
08/04/2026,Genlis,6.8,27.4,0.0
08/04/2026,Varanges,6.5,26.0,0.0
07/04/2026,Genlis,6.2,25.4,0.0
07/04/2026,Varanges,5.4,26.6,0.0
06/04/2026,Genlis,5.7,23.8,0.0
06/04/2026,Varanges,5.4,23.1,0.0
05/04/2026,Genlis,6.7,22.3,0.0
05/04/2026,Varanges,6.5,23.6,0.0
04/04/2026,Genlis,9.5,12.1,0.0
04/04/2026,Varanges,10.5,20.8,0.1
03/04/2026,Genlis,0.1,12.1,0.0
03/04/2026,Varanges,-0.3,18.1,0.0
02/04/2026,Genlis,-0.3,12.8,0.0
02/04/2026,Varanges,-0.3,16.3,0.0
01/04/2026,Genlis,4.3,17.1,0.0
01/04/2026,Varanges,3.0,13.5,0.0
31/03/2026,Genlis,1.0,13.0,0.0
31/03/2026,Varanges,1.7,12.0,0.0
30/03/2026,Genlis,6.0,13.6,0.6
30/03/2026,Varanges,2.0,13.1,0.4
29/03/2026,Genlis,-1.0,11.7,0.0
29/03/2026,Varanges,0.1,10.5,0.0
28/03/2026,Genlis,-2.8,9.0,1.0
28/03/2026,Varanges,-3.2,8.7,1.2
27/03/2026,Genlis,-2.1,7.4,0.0
27/03/2026,Varanges,-1.8,9.8,0.1
26/03/2026,Genlis,1.8,8.0,0.2
26/03/2026,Varanges,1.7,9.0,0.4
25/03/2026,Genlis,6.2,11.5,1.1
25/03/2026,Varanges,5.0,10.5,2.0
24/03/2026,Genlis,0.3,22.9,0.0
24/03/2026,Varanges,0.3,19.1,0.0
23/03/2026,Genlis,-0.2,11.7,0.0
23/03/2026,Varanges,0.3,16.5,0.1
22/03/2026,Genlis,6.5,13.0,0.4
22/03/2026,Varanges,6.6,14.5,0.9
21/03/2026,Genlis,0.7,15.4,0.0
21/03/2026,Varanges,1.2,18.0,0.0
20/03/2026,Genlis,1.9,18.2,0.0
20/03/2026,Varanges,1.6,18.0,0.0
19/03/2026,Genlis,1.1,16.2,0.0
19/03/2026,Varanges,1.0,17.6,0.0
18/03/2026,Genlis,5.1,16.6,0.0
18/03/2026,Varanges,4.7,15.8,0.0
17/03/2026,Genlis,1.7,14.9,0.0
17/03/2026,Varanges,1.9,16.9,0.1
